name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people)
Fresh Pressery Cafe,No,No,3.3/5,104,Lavelle Road,"Casual Dining, Bar","North Indian, Continental, Chinese","₹ 1,200.00"
South Parade - The Chancery Hotel,No,No,3.4/5,120,Lavelle Road,Casual Dining,"North Indian, Chinese","₹ 1,000.00"
Mint Masala,No,No,3.9/5,253,Infantry Road,Pub,"North Indian, Continental","₹ 1,000.00"
Downtown,No,No,3.7/5,293,Residency Road,Casual Dining,Beverages,"₹ 2,000.00"
The Lobby Lounge - The Ritz-Carlton,No,No,3.7/5,28,Residency Road,Lounge,Finger Food,"₹ 2,000.00"
The Ritz-Carlton Bar - The Ritz-Carlton,No,No,3.8/5,93,Residency Road,Lounge,Finger Food,"₹ 1,700.00"
Sphyre - Gateway Hotel,No,No,4.0/5,43,Residency Road,Lounge,Finger Food,"₹ 1,500.00"
Slounge - Lemon Tree Premier,No,No,3.3/5,62,Ulsoor,Casual Dining,"North Indian, Chinese, Seafood, Mangalorean",₹ 550.00
Skyline Family Restaurant,Yes,No,3.8/5,33,Shanti Nagar,Casual Dining,"South Indian, Fast Food, Street Food",₹ 400.00
A2B - Adyar Ananda Bhavan,Yes,No,3.8/5,184,Shanti Nagar,Sweet Shop,"Fast Food, Mithai",₹ 300.00
Tewari Bros Mithai Shoppie,Yes,No,3.9/5,59,Commercial Street,Bar,"Continental, North Indian, Chinese","₹ 1,200.00"
Strikers Sports Bar and Music,No,Yes,3.0/5,73,Shanti Nagar,Fine Dining,"American, North Indian, European, Tex-Mex","₹ 3,000.00"
Polo Club - The Oberoi,No,No,3.7/5,117,MG Road,"Beverage Shop, Cafe","Cafe, Tea, North Indian",₹ 500.00
Tata Cha,Yes,No,3.3/5,67,Church Street,Cafe,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",₹ 500.00
Moto Store & Café,Yes,No,4.1/5,382,Ulsoor,"Casual Dining, Bar","Asian, North Indian, Continental","₹ 1,800.00"
Atomic Lab,No,No,4.2/5,53,Lavelle Road,Lounge,Spanish,"₹ 2,500.00"
Bar UNO - JW Marriott Bengaluru,No,No,NEW,72,Lavelle Road,Casual Dining,"Italian, Fast Food",₹ 800.00
Sidewalk Cafe - Nahar's Heritage Hotel,No,No,4.0/5,134,St. Marks Road,Fine Dining,Chinese,"₹ 2,500.00"
Szechwan Court - The Oberoi,No,No,2.9/5,168,MG Road,Casual Dining,"Mughlai, North Indian, Chinese",₹ 700.00
Rahhams,Yes,No,3.8/5,307,Shanti Nagar,Casual Dining,"North Indian, Kebab, Fast Food",₹ 500.00
Kabab Magic,Yes,No,3.0/5,74,Richmond Road,Casual Dining,"North Indian, Mughlai, Hyderabadi","₹ 1,400.00"
Curry with a 'K' - St. Mark's Hotel,No,No,3.8/5,89,St. Marks Road,Casual Dining,Biryani,₹ 600.00
Shaadi Ki Biryani,Yes,No,3.7/5,296,Commercial Street,Casual Dining,"South Indian, Biryani",₹ 450.00
Halli Oota,No,No,3.8/5,6,St. Marks Road,Cafe,"Cafe, Beverages, Fast Food",₹ 600.00
Driven Cafe,Yes,No,3.7/5,122,Residency Road,Cafe,"Cafe, Continental, Italian",₹ 800.00
Soul Cafe,No,Yes,4.3/5,315,MG Road,Cafe,Cafe,₹ 300.00
Barista,No,No,3.8/5,35,Shanti Nagar,Casual Dining,"North Indian, South Indian, Chinese",₹ 550.00
Chaithanya Delicacy,No,No,4.0/5,52,Richmond Road,Casual Dining,"Chinese, Thai",₹ 850.00
Beijing Bites,Yes,No,3.8 /5,262,Richmond Road,Lounge,"Finger Food, Continental, Chinese","₹ 2,400.00"
Liquid Lounge - Hyatt Centric MG Road,No,Yes,3.8 /5,98,Ulsoor,Casual Dining,"North Indian, Chinese",₹ 500.00
Wazir's,Yes,No,3.4 /5,261,Shanti Nagar,Bar,"North Indian, Chinese","₹ 1,400.00"
Retro Lounge Bar,No,Yes,3.0 /5,108,Ulsoor,Cafe,"Cafe, North Indian, Fast Food","₹ 2,200.00"
The Lobby Brew - Conrad Bengaluru,No,Yes,3.0 /5,25,Ulsoor,Casual Dining,North Indian,"₹ 1,900.00"
Northern Gate- Gateway Hotel,No,Yes,3.9 /5,100,Residency Road,Casual Dining,"North Indian, Continental, Chinese",₹ 800.00
Canopy,No,No,3.5 /5,107,MG Road,"Casual Dining, Cafe","Chinese, North Indian, Cafe","₹ 1,000.00"
Cafe @ Elanza,No,No,3.2 /5,145,Richmond Road,Cafe,"Cafe, Fast Food",₹ 700.00
Cafe 22,No,No,3.8 /5,11,Church Street,Cafe,Cafe,₹ 250.00
Chai Ki Tapri,No,No,3.7 /5,16,MG Road,Casual Dining,"North Indian, Asian, Mediterranean","₹ 1,000.00"
The RoofTop,No,No,3.9 /5,4,St. Marks Road,"Casual Dining, Bar","Continental, Chinese","₹ 1,200.00"
Mighty Small,No,No,3.2 /5,259,MG Road,"Casual Dining, Bar","Thai, Continental, North Indian","₹ 1,500.00"
White Plate,No,Yes,3.8 /5,258,MG Road,Bar,"Finger Food, Fast Food, Continental","₹ 2,200.00"
The Hub - Ibis Hotel,No,No,3.7 /5,29,Richmond Road,Casual Dining,"South Indian, Seafood, Kerala, Biryani",₹ 800.00
No 10 Fort Cochin,No,No,3.1 /5,0,Residency Road,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",₹ 250.00
Chai Point,Yes,No,3.7 /5,132,Residency Road,Casual Dining,"Continental, Italian, Chinese","₹ 1,000.00"
Tiffanys,No,No,3.1 /5,31,Shanti Nagar,Cafe,"Cafe, Continental, Salad",₹ 600.00
Cafe Cerrise,Yes,No,3.2 /5,96,Ulsoor,Casual Dining,"North Indian, Chinese","₹ 1,000.00"
Nithyothsav - Hotel Ramanashree,No,No,2.8 /5,31,MG Road,Casual Dining,"North Indian, South Indian, Chinese, Fast Food",₹ 800.00
Cafe Monarch Luxur,No,No,3.1 /5,23,Infantry Road,Casual Dining,"North Indian, Chinese",₹ 700.00
Jaisalmer,No,No,3.2 /5,57,St. Marks Road,Casual Dining,South Indian,₹ 500.00
Sunehri,No,No,3.5 /5,67,Richmond Road,Bar,"North Indian, Chinese, Finger Food",₹ 800.00
Page 3 Multicuisine Restaurant & Bar,No,No,2.7 /5,14,Residency Road,Casual Dining,"Chinese, North Indian, South Indian",₹ 400.00
Kadamba Foodline,Yes,No,3.2 /5,29,Ulsoor,Fine Dining,"Italian, Salad","₹ 3,000.00"
Ottimo - ITC Gardenia,No,Yes,3.5 /5,164,Richmond Road,Casual Dining,"Continental, South Indian, North Indian, Asian","₹ 1,100.00"
Bazaar- Zone By The Park,No,Yes,NEW,52,Infantry Road,Casual Dining,South Indian,₹ 400.00
Sri Vishnu Bhavan Veg,No,No,2.9 /5,0,Shanti Nagar,Quick Bites,"North Indian, Mughlai, Chinese",₹ 400.00
Delhi Mahal,Yes,No,4.2 /5,114,Whitefield,Quick Bites,Biryani,₹ 250.00
Kolkata Biryani Center,Yes,No,3.7 /5,40,Whitefield,Quick Bites,"Biryani, Chinese, South Indian, North Indian",₹ 400.00
Vijayas Biryani Palace,Yes,No,3.0 /5,36,Whitefield,Quick Bites,"Fast Food, Burger",₹ 500.00
Meat and Eat,Yes,No,3.7 /5,28,Whitefield,Quick Bites,"Andhra, Chinese, North Indian, Biryani, Beverages",₹ 400.00
Krutunga Restaurant,Yes,No,3.4 /5,52,Whitefield,Quick Bites,"North Indian, South Indian, Chinese",₹ 500.00
Kamat Yatrinivas,No,No,NEW,241,Whitefield,Food Court,North Indian,₹ 400.00
Chatpata India,Yes,No,3.8 /5,103,Whitefield,Quick Bites,"Healthy Food, Sandwich, Salad",₹ 500.00
Subway,Yes,No,3.9 /5,41,Whitefield,Quick Bites,Fast Food,₹ 200.00
Five Star Chicken,Yes,No,3.9 /5,42,Whitefield,Quick Bites,"North Indian, Chinese",₹ 200.00
Mother's Food,Yes,No,NEW,63,Whitefield,Quick Bites,"Bengali, North Indian, Chinese, Biryani",₹ 400.00
Petuk,Yes,No,3.7 /5,79,Whitefield,Quick Bites,Street Food,₹ 200.00
Desi Chats,No,No,3.7 /5,18,Whitefield,Quick Bites,North Indian,₹ 300.00
Maa Durga Restaurant,Yes,No,3.1 /5,4,Whitefield,Food Court,"Juices, Fast Food",₹ 400.00
Squeez Juice Bar,No,No,3.5 /5,107,Whitefield,Quick Bites,"North Indian, Chinese",₹ 300.00
Vegtaurant,Yes,No,3.7 /5,88,Whitefield,Quick Bites,"Fast Food, Rolls, Momos",₹ 300.00
Rolls On Wheels,No,No,3.3 /5,76,Whitefield,Quick Bites,South Indian,₹ 250.00
Nandi Mess - Feel Like Mom's,Yes,No,NEW,31,Whitefield,Quick Bites,"North Indian, Chinese, Biryani, Seafood",₹ 600.00
Pot Biryani,Yes,No,3.8 /5,113,Whitefield,Food Court,"North Indian, South Indian, Arabian",₹ 400.00
Jalsa Adda,No,No,3.9 /5,8,Whitefield,Quick Bites,"Pizza, Fast Food",₹ 400.00
Domino's Pizza,No,No,3.2 /5,49,Whitefield,Quick Bites,North Indian,₹ 300.00
Night Diaries,No,No,3.2 /5,16,Whitefield,Quick Bites,"North Indian, South Indian",₹ 400.00
Taste Of India Family Restaurant,Yes,No,3.8 /5,232,Whitefield,Quick Bites,"North Indian, Mughlai, Chinese",₹ 350.00
Kabab Mirchi,No,No, ('Rated 3.5',46,Whitefield,Food Court,"South Indian, Chettinad",₹ 400.00
Nalaas Aapakadai,No,No,4.2 /5,33,Whitefield,Quick Bites,Biryani,₹ 300.00
Hyderabad Biryani,Yes,No,4.0 /5,4,Whitefield,Quick Bites,North Indian,₹ 200.00
At North Parontha Hut,No,No,3.1 /5,0,Whitefield,Quick Bites,"Andhra, Biryani, North Indian",₹ 300.00
Andhra Ghumaghumalu,Yes,No,3.6 /5,18,Whitefield,Quick Bites,"North Indian, Chinese",₹ 300.00
Tasty Food,Yes,No,3.2 /5,0,Whitefield,Quick Bites,"North Indian, Mughlai, Chinese",₹ 500.00
Grill Point,Yes,No,3.1 /5,30,Whitefield,Quick Bites,"North Indian, Healthy Food, Beverages",₹ 400.00
nu.tree,Yes,No,3.7 /5,52,Whitefield,Quick Bites,"North Indian, Kerala",₹ 350.00
Mothi Restaurant,No,No,3.4 /5,64,Whitefield,Quick Bites,"Mithai, Street Food",₹ 500.00
Bangalore Agarwal Bhavan,No,No,4.2 /5,5,Whitefield,Quick Bites,Street Food,₹ 200.00
Goli Vada Pav No. 1,No,No,3.8 /5,14,Whitefield,Quick Bites,"North Indian, Chinese",₹ 300.00
Nisarga Restaurant,Yes,No,2.9 /5,6,Whitefield,Quick Bites,South Indian,₹ 300.00
Sri chowdeshwari Mudde Hotel,No,No,3.6 /5,0,Whitefield,Food Court,"Italian, Mexican, Burger, Fast Food",₹ 450.00
Dhadoom,No,No,3.5 /5,0,Whitefield,Quick Bites,"Fast Food, Salad, Desserts",₹ 700.00
Foodhall,Yes,No,4.2 /5,28,Whitefield,Quick Bites,"Fast Food, Burger, Beverages, Rolls, Sandwich",₹ 400.00
Lenny's- Burgers and more,Yes,No,3.8 /5,38,Whitefield,"Food Court, Quick Bites","Mexican, Fast Food",₹ 400.00
California Burrito,No,No,2.8 /5,122,Whitefield,Quick Bites,North Indian,₹ 500.00
Temptation,Yes,No,4.1 /5,0,Whitefield,Dessert Parlor,"Bakery, Desserts, Beverages",₹ 450.00
Mad Over Donuts,Yes,No,3.7 /5,29,Whitefield,Quick Bites,Street Food,₹ 300.00
Chaat Bazaar,Yes,No,3.5 /5,35,Whitefield,Quick Bites,North Indian,₹ 400.00
Shan-e-Punjabi Express,Yes,No,3.4 /5,76,Whitefield,Food Court,Arabian,₹ 500.00
Marhaba,Yes,No,NEW,8,Whitefield,Food Court,"Andhra, Hyderabadi, Biryani",₹ 600.00
Naga's,Yes,No,2.8 /5,36,Whitefield,Food Court,"Biryani, Kebab",₹ 400.00
Chikpet Donne Biriyani House,Yes,No,3.7 /5,20,Whitefield,Quick Bites,"North Indian, Street Food, Beverages",₹ 300.00
Picnik,Yes,No,3.5 /5,0,Whitefield,Quick Bites,"North Indian, Fast Food, Burger, BBQ",₹ 450.00
RoadHouse Grill,Yes,No,3.3 /5,99,Whitefield,Quick Bites,"North Indian, Rolls",₹ 300.00
Rafoo Chakkar,Yes,No,3.7 /5,386,Whitefield,Quick Bites,"North Indian, Bengali, Chinese",₹ 300.00
Friend's Own,Yes,No,4.0 /5,55,Whitefield,Quick Bites,"Andhra, Biryani",₹ 350.00
Biriyani House,No,No,3.4 /5,13,Whitefield,Quick Bites,"North Indian, Chinese",₹ 400.00
Chacha Ka Dhaba,No,No,3.5 /5,0,Whitefield,"Bakery, Cafe","Bakery, Desserts, Cafe, Italian, Pizza",₹ 400.00
Chef Baker's,Yes,No,3.6 /5,124,Whitefield,Cafe,Cafe,₹ 400.00
Tea Journey,No,No,3.5 /5,71,Indiranagar,Quick Bites,"Fast Food, Bengali, Rolls",₹ 400.00
Kitchen of Joy,Yes,No,4.3/5,581,Indiranagar,Quick Bites,"Fast Food, Biryani",₹ 200.00
Big Mummy,Yes,No,4.0 /5,223,Indiranagar,Quick Bites,"South Indian, North Indian, Fast Food, Street Food",₹ 300.00
Cafe Srinidhi,No,No,3.8 /5,91,Indiranagar,Quick Bites,North Indian,₹ 700.00
Paratha Plaza,Yes,No,3.5 /5,156,Indiranagar,Casual Dining,Chinese,₹ 600.00
Chungs Pavilion,Yes,No,3.1 /5,249,Indiranagar,Casual Dining,"South Indian, North Indian, Continental",₹ 150.00
Bhagini Icon Boutique Hotel,Yes,No,2.5 /5,6,Indiranagar,Quick Bites,"South Indian, North Indian, Street Food, Chinese, Beverages",₹ 200.00
Sri Krishna Sagar,No,No,2.4 /5,66,Domlur,Quick Bites,South Indian,₹ 600.00
Santrupthi Khanavalli,No,No,1.9/5,4,CV Raman Nagar,Quick Bites,"Beverages, Fast Food",₹ 400.00
Shake It Off,Yes,No,3.7 /5,165,Indiranagar,Quick Bites,"Bengali, Continental",₹ 600.00
Kasol Cafe,No,No,3.0 /5,21,Indiranagar,"Dessert Parlor, Cafe","Fast Food, Desserts, Cafe",₹ 700.00
Lakeview Milkbar,No,No,3.2 /5,544,Indiranagar,Casual Dining,"North Indian, Chinese",₹ 400.00
Cafe Ritzz,No,Yes,2.8 /5,40,Indiranagar,Quick Bites,"North Indian, Chinese",₹ 300.00
Eat Well,Yes,No,2.4 /5,33,Indiranagar,Quick Bites,"Asian, Chinese",₹ 600.00
Kylie's,No,No,3.4 /5,263,Indiranagar,Quick Bites,"Fast Food, Burger, Sandwich, Beverages",₹ 400.00
Cheesy Juicy Burgers,Yes,No,2.8 /5,85,Indiranagar,Casual Dining,"Chinese, Thai, Momos, Vietnamese",₹ 300.00
Chung Wah Express,Yes,No,NEW,97,Indiranagar,"Food Court, Quick Bites","Mexican, Fast Food",₹ 600.00
California Burrito,No,No,3.0 /5,343,Domlur,Quick Bites,"North Indian, Chinese, Continental, Seafood",₹ 300.00
Happenwell Cafe Lounge,No,No,3.8 /5,24,Indiranagar,Casual Dining,"North Indian, South Indian, Andhra, Mughlai",₹ 400.00
Flavors of India,No,No,3.8 /5,6,Domlur,Food Truck,Fast Food,₹ 200.00
Pappu Chaiwalla,No,No,2.9 /5,0,East Bangalore,Quick Bites,"Fast Food, North Indian, Continental",₹ 500.00
Anju's Cafe,No,No,3.4 /5,6,Indiranagar,Quick Bites,"South Indian, Beverages",₹ 750.00
Hatti Kaapi,Yes,No,4.0 /5,0,Indiranagar,Cafe,"Cafe, Continental, Fast Food",₹ 400.00
Cup Shup,No,No, ('Rated 4.0',185,Indiranagar,Casual Dining,North Indian,₹ 250.00
Bites 2 Binge,Yes,No,4.1 /5,19,Indiranagar,Quick Bites,Fast Food,"₹ 1,800.00"
Big Chick Fried Chicken,Yes,No,,11,Kaggadasapura,Quick Bites,"Fast Food, Momos, Rolls","₹ 1,300.00"
Pathaan Sir,Yes,No,3.6 /5,55,Indiranagar,Casual Dining,"Mughlai, North Indian",₹ 250.00
Masala Dani - The Paul,No,No,3.5 /5,56,Domlur,Bar,"Seafood, Mexican, Continental, Finger Food",₹ 350.00
Quench Bar,No,No,3.5 /5,108,Domlur,Quick Bites,"Chinese, North Indian",₹ 250.00
Lakshmi Bhog Sweets and Snacks,Yes,No,3.4 /5,6,CV Raman Nagar,Quick Bites,North Indian,₹ 400.00
Sethji Home Made Food,Yes,No,2.9 /5,229,Indiranagar,Quick Bites,"Street Food, American",₹ 400.00
Wow Vada Pav,Yes,No,3.3 /5,27,Indiranagar,"Bakery, Quick Bites","Bakery, Desserts, Sandwich",₹ 500.00
The French Loaf,Yes,No,3.7 /5,137,Indiranagar,Mess,"Andhra, Biryani, Chinese",₹ 350.00
Andhra Mess,Yes,No,3.5 /5,129,Domlur,Quick Bites,"Rolls, North Indian, Fast Food",₹ 500.00
Tayabbs,Yes,No,2.9 /5,739,Indiranagar,Quick Bites,"Kerala, South Indian",₹ 500.00
Achayyan's,Yes,No,3.3 /5,410,Indiranagar,Casual Dining,Andhra,₹ 350.00
Banana Leaf,No,No,3.6 /5,12,Domlur,"Beverage Shop, Quick Bites","Beverages, Fast Food",₹ 600.00
Drunken Monkey,Yes,No,3.3 /5,14,CV Raman Nagar,Quick Bites,"North Indian, Chinese, Arabian",₹ 550.00
Hotel Hyperdine,Yes,No,3.3 /5,66,Indiranagar,Cafe,"Cafe, Fast Food",₹ 300.00
Raenss Cafe,Yes,No,3.3 /5,128,Indiranagar,Casual Dining,"Chinese, North Indian, Momos",₹ 500.00
Chinese Fire Dragon,No,No,3.4 /5,25,Domlur,Food Court,North Indian,₹ 100.00
Punjab Bistro,Yes,No,3.5 /5,16,CV Raman Nagar,Quick Bites,"North Indian, Biryani, Chinese",₹ 350.00
Walnut Kitchen,No,No,3.4 /5,10,Domlur,Beverage Shop,"Beverages, Juices",₹ 600.00
The Cool Zone,No,No,3.1 /5,0,Domlur,Casual Dining,"North Indian, South Indian",₹ 300.00
All Seasons Restaurants,No,No,3.4 /5,0,Indiranagar,Quick Bites,"Biryani, South Indian",₹ 500.00
Swagath Authentic Nati Style,Yes,No,3.0 /5,0,Indiranagar,Quick Bites,"Chinese, Momos",₹ 500.00
Momo Rice Noodles,Yes,No,3.2 /5,87,Domlur,Quick Bites,"North Indian, Chinese, Fast Food",₹ 450.00
Rajan's Cafe,No,No,3.0 /5,79,Domlur,Quick Bites,"Healthy Food, Sandwich, Salad","₹ 1,400.00"
Subway,Yes,No,3.1 /5,261,Indiranagar,Quick Bites,Pizza,₹ 500.00
Sbarro,No,No,3.1 /5,16,Domlur,Casual Dining,"North Indian, South Indian, Chinese, Fast Food, Beverages, Desserts, Street Food",₹ 250.00
New Shanthi Sagar,No,No,3.4 /5,119,Domlur,Cafe,Cafe,₹ 200.00
Origin Espresso Bar,No,No,3.2 /5,0,Domlur,Casual Dining,"Asian, Thai",₹ 400.00
One Night In Bangkok,No,No,3.9 /5,0,Indiranagar,Cafe,"Cafe, Italian, Tex-Mex, Fast Food, Burger",₹ 250.00
Cross Roads Cafe,No,No,3.5 /5,59,Indiranagar,Quick Bites,"Kerala, South Indian","₹ 1,100.00"
Sree Vinayaka Puttukada,No,No,3.4 /5,0,Indiranagar,Quick Bites,South Indian,₹ 600.00
Chai & Kadi,No,No,3.9 /5,33,Indiranagar,Food Truck,"American, Mexican",₹ 300.00
Amexicano,No,No, ('Rated 3.5',31,East Bangalore,Casual Dining,North Indian,"₹ 1,200.00"
Allahabadi Tadaka,No,No,3.5 /5,47,Domlur,Casual Dining,North Indian,₹ 200.00
Avanti Indian Barbeque & Grill,No,No,2.8 /5,46,Domlur,"Cafe, Dessert Parlor","Cafe, Desserts, Beverages, Italian",₹ 600.00
Melting Spot,No,No,3.1 /5,134,Indiranagar,Quick Bites,Fast Food,₹ 400.00
Lazer Castle,No,No,02-May,28,Indiranagar,"Casual Dining, Bar","South Indian, North Indian, Continental, European",₹ 300.00
re:cess - Hilton Bangalore Embassy GolfLinks,No,Yes,3.6 /5,146,Domlur,Quick Bites,"Chinese, North Indian",₹ 300.00
SLV Andhra Mess,Yes,No,3.2 /5,6,Domlur,Casual Dining,"North Indian, Chinese",₹ 150.00
Taste Of Nawaab's,No,No, ('Rated 2.5',22,Domlur,"Cafe, Dessert Parlor","Cafe, American, Italian, Continental",₹ 200.00
Cafe Velvette,No,No,NEW,11,Domlur,Cafe,Cafe,₹ 150.00
Barista,No,No,NEW,12,CV Raman Nagar,Mess,Andhra,₹ 250.00
7 Hills Andhra Mess,No,No,NEW,8,CV Raman Nagar,Cafe,"Cafe, Fast Food",₹ 300.00
Hot Spot Cafe,No,No,4.4 /5,17,Domlur,Quick Bites,Fast Food,₹ 350.00
Five Star Chicken,Yes,No,03-May,0,Domlur,Quick Bites,"North Indian, Chinese",₹ 200.00
Dal Chawal Roti,No,No, ('Rated 2.0',10,Indiranagar,Quick Bites,Street Food,₹ 500.00
Saka Eatery Outlet,Yes,No,4.0 /5,42,Indiranagar,Food Court,South Indian,₹ 300.00
Indian Masala House,No,No,3.9 /5,0,CV Raman Nagar,Quick Bites,Biryani,₹ 300.00
Biryani Point,No,No, ('Rated 5.0',0,Domlur,Quick Bites,"Kerala, South Indian",₹ 100.00
Malabar Cafe,No,No,3.9 /5,0,Indiranagar,Quick Bites,"Fast Food, Rolls",₹ 300.00
Kolkata Rolls & Hot Dum Biriyani On Dial,Yes,No,,22,Indiranagar,"Bakery, Cafe","Bakery, Cafe",₹ 400.00
Breadworks,Yes,No,3.2 /5,48,Indiranagar,Food Court,Hyderabadi,₹ 200.00
Waah Chef,No,No,4.2 /5,4,CV Raman Nagar,Quick Bites,"North Indian, Chinese",₹ 250.00
Dine @ 9 Paratha Corner,No,No,3.9/5,33,Indiranagar,Quick Bites,South Indian,₹ 600.00
Suvaai Restaurant,Yes,No,4.1,11,Indiranagar,Quick Bites,"North Indian, Biryani","₹ 1,000.00"
Sai Donne Biryani,Yes,No, ('Rated 4.0',9,Indiranagar,Quick Bites,North Indian,₹ 150.00
Paisa Vasool,Yes,No,4.3 /5,8,Domlur,Quick Bites,"Juices, Desserts, Fast Food",₹ 200.00
New Udupi Fresh Juice Centre,No,No,,9,CV Raman Nagar,Quick Bites,"South Indian, North Indian, Seafood",₹ 300.00
Neer Dose Fish Land,No,No, ('Rated 5.0',8,Domlur,Cafe,"Cafe, Continental",₹ 400.00
C-harge by Chefkraft,No,No,,7,Indiranagar,Bar,"North Indian, Chinese",₹ 200.00
H3O,No,No,4.3 /5,11,Indiranagar,Beverage Shop,"Juices, Beverages",₹ 200.00
Bery's Cafe,No,No,,0,Indiranagar,Quick Bites,"Biryani, Hyderabadi",₹ 100.00
Bismillah Ambur Biryani,No,No,,0,Indiranagar,Food Court,"Fast Food, Beverages",₹ 250.00
Get Ur Fix,No,No,,0,CV Raman Nagar,Quick Bites,"North Indian, Chinese, Biryani",₹ 200.00
Desi Bites,No,No,4.0 /5,0,CV Raman Nagar,Food Court,Rolls,₹ 200.00
Rufi's Kati Roll,No,No,4.3 /5,0,Domlur,Quick Bites,"South Indian, Street Food",₹ 200.00
Santruptii Sagar,No,No,4.0 /5,0,CV Raman Nagar,Quick Bites,Biryani,₹ 150.00
New Ambur Hot Dum Biryani,No,No,4.1 /5,0,Indiranagar,Quick Bites,South Indian,₹ 500.00
Nimma Mane,No,No,,0,Domlur,Quick Bites,"Salad, Greek, Mediterranean",₹ 500.00
Yum Tum,No,No,,7,Domlur,Quick Bites,"Fast Food, Desserts, Beverages",₹ 250.00
Ice Cubes,No,No,4.0 /5,16,Indiranagar,Quick Bites,Fast Food,₹ 250.00
Unique Brew Cafe Resto,No,No,3.9 /5,0,Indiranagar,Quick Bites,"Biryani, Kebab",₹ 200.00
Lazzat Biriyani,No,No,3.7 /5,0,Domlur,Quick Bites,"North Indian, South Indian",₹ 400.00
Indian Spicy Food,No,No,4.2 /5,4,Old Madras Road,Quick Bites,"Biryani, Beverages",₹ 300.00
Juice Planet Food Corner,No,No,4.0 /5,0,Domlur,Quick Bites,"North Indian, Chinese, Rolls",₹ 300.00
New Khaayaal's Restaurant,No,No,4.1 /5,106,CV Raman Nagar,Food Court,"Lebanese, Mughlai, North Indian",₹ 400.00
Sizzling Tandoor,No,No,3.9 /5,5,Domlur,Quick Bites,"Fast Food, Juices",₹ 150.00
King Burger Cafeteria,No,No,3.9 /5,11,Indiranagar,Quick Bites,South Indian,₹ 200.00
Sri Lakshmi Darshini Canteen,No,No,3.9 /5,0,Indiranagar,Quick Bites,Chinese,₹ 300.00
Tasty Momos,No,No,3.8 /5,0,Indiranagar,Quick Bites,"Mughlai, North Indian",₹ 250.00
Brindhavanam Refreshment,No,No,2.4 /5,0,Indiranagar,Quick Bites,Andhra,₹ 300.00
Sri Sai Ganesh Andhra Mess,No,No,4.0 /5,0,Indiranagar,Quick Bites,"Biryani, North Indian",₹ 500.00
Best Biryani,No,No,3.1 /5,0,Indiranagar,Quick Bites,Chinese,₹ 200.00
Mini Wok,No,No,NEW,7,Thippasandra,Quick Bites,Rolls,₹ 200.00
Kolkata Famous Kati Roll,No,No,NEW,0,Domlur,Quick Bites,"Biryani, North Indian",₹ 300.00
Bismilla Vaniyambadi Biriyani,No,No,4.3 /5,0,Domlur,Quick Bites,"Seafood, Fast Food",₹ 200.00
FNC Seafood,No,No,4.1 /5,5,Domlur,Quick Bites,"North Indian, Fast Food, Street Food",₹ 300.00
Chowpatty,Yes,No,3.8 /5,929,Indiranagar,Quick Bites,"North Indian, Chinese",₹ 600.00
Punjabi's Food Corner,Yes,No,4.6 /5,89,CV Raman Nagar,Quick Bites,Kerala,₹ 600.00
Hotel Devanand Kerala Restaurant,Yes,No, ('Rated 2.0',94,CV Raman Nagar,Quick Bites,"North Indian, Chinese, Biryani, Fast Food",₹ 500.00
Eggzotic,No,No,4.0 /5,391,Domlur,Quick Bites,South Indian,₹ 250.00
Domlur Cafe,No,No,3.9 /5,0,Domlur,Quick Bites,"Fast Food, Lebanese","₹ 2,100.00"
Chai Masthi,Yes,No,4.1 /5,10,Domlur,Quick Bites,"North Indian, Chinese","₹ 1,300.00"
Punjabi Dhaba,Yes,No,3.2 /5,53,Indiranagar,Quick Bites,"Biryani, Chinese","₹ 1,500.00"
Venus Biryani,Yes,No,4.3 /5,149,Domlur,Quick Bites,Kerala,"₹ 1,800.00"
Kerala Mess,No,No,,36,Indiranagar,Casual Dining,"Andhra, Biryani","₹ 1,000.00"
Bharanis,No,No,,18,Domlur,Quick Bites,"Pizza, Italian","₹ 1,800.00"
Pizza Stop,Yes,No,4.6 /5,166,Domlur,Quick Bites,Fast Food,"₹ 2,400.00"
Bat Chef,Yes,No, highly recommended.,27,Indiranagar,Quick Bites,"South Indian, North Indian, Street Food","₹ 3,000.00"
Shiv Sagar,No,No, 'Rated 4.0',0,Domlur,Casual Dining,"European, Italian, Seafood, Continental","₹ 1,800.00"
Sunny's,No,No,00-Jan,0,Indiranagar,Pub,"Finger Food, Salad, Chinese, Continental",₹ 600.00
Watson's,Yes,No,4.3 /5,0,Indiranagar,"Bar, Casual Dining","Continental, Asian, Italian, North Indian","₹ 1,400.00"
1131 Bar + Kitchen,No,Yes,4.3/5,2861,Indiranagar,"Pub, Microbrewery","American, Continental, North Indian, Mediterranean","₹ 2,000.00"
Big Pitcher,No,Yes,4.2/5,9300,Old Airport Road,"Bar, Casual Dining","Continental, Burger, Italian, Pizza, North Indian, Chinese, Finger Food","₹ 1,500.00"
Boozers Bar & Kitchen,No,No,4.4/5,700,Indiranagar,Bar,Finger Food,"₹ 1,400.00"
CloudNYN - Sterling Mac Hotel,No,No,4.3 /5,417,Old Airport Road,Bar,"Chinese, Continental","₹ 1,300.00"
